scenario,attachment_kb,repeat,turn_index,session_id,http_status,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed
growing,0,0,1,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,132,0,2,0,0,3954,439,0.002176,9969.76,none,developer,False,True,True
growing,0,0,2,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,65,0,4,0,0,5018,625,0.006885,10641.3,none,developer,False,True,True
growing,0,0,3,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,58,0,6,0,0,5692,781,0.008123,25698.01,none,developer,False,True,True
growing,0,0,4,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,48,0,8,1,0,7260,903,0.011775,6237.11,none,developer,False,True,True
growing,0,0,5,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,59,0,10,1,0,5946,821,0.0,20167.18,none,developer,False,True,True
growing,0,0,6,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,58,0,12,1,0,8279,1082,0.011814,9928.1,none,developer,False,True,True
growing,0,0,7,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,58,0,6,1,1181,9326,1196,0.013265,17723.87,none,developer,False,True,True
growing,0,0,8,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,61,0,8,1,1181,7842,1134,0.003084,21340.9,none,developer,False,True,True
growing,0,0,9,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,36,0,10,1,1181,8049,1128,0.0,30448.8,none,developer,False,True,True
growing,0,0,10,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,63,0,12,1,1181,11613,1441,0.018818,9922.94,none,developer,False,True,True
growing,0,0,11,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,47,0,6,1,1441,10273,1228,0.0,41928.74,none,developer,False,True,True
growing,0,0,12,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,53,0,8,1,1441,16942,2510,0.0,51106.97,none,developer,False,True,True
growing,0,0,13,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,46,0,10,1,1441,11873,1590,0.019823,10968.42,none,executive,False,True,True
growing,0,0,14,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,58,0,12,1,1441,13403,1776,0.022283,13094.75,none,developer,False,True,True
growing,0,0,15,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,56,0,6,1,1993,15094,2569,0.027939,26349.12,none,developer,False,True,True
growing,0,0,16,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,53,0,8,1,1993,12119,1839,0.021314,13875.6,none,developer,False,True,True
growing,0,0,17,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,60,0,10,1,1993,13031,2052,0.020024,79705.93,none,developer,False,True,True
growing,0,0,18,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,60,0,12,1,1993,15899,2205,0.026924,77534.39,none,developer,False,True,True
growing,0,0,19,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,65,0,6,1,2232,17975,2341,0.02968,24142.0,none,developer,False,True,True
growing,0,0,20,0b7b6977-ec5d-40f8-9552-ba9c6c6dc6d1,200,83,0,8,1,2232,13824,2453,0.026089,49593.05,none,developer,False,True,True
growing,100,0,1,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101142,101008,2,0,0,23778,407,0.0,23343.74,none,developer,False,True,True
growing,100,0,2,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101075,101008,4,0,0,29618,1142,0.035328,12658.93,none,developer,False,True,True
growing,100,0,3,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101068,101008,6,0,0,30452,1006,0.035482,12592.24,none,developer,False,True,True
growing,100,0,4,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101058,101008,8,1,0,26902,759,0.002548,17530.08,none,developer,False,True,True
growing,100,0,5,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101069,101008,10,1,0,26915,841,0.0,29230.09,none,developer,False,True,True
growing,100,0,6,0fbd4cec-5cdf-491c-a1d4-5a3c58116dc0,200,101068,101008,12,1,0,32304,1114,0.035759,18863.28,none,developer,False,True,True
